wavelength_nm, transmission
1.557817817817817740e+03,5.271101672400319710e-03
1.557917917917917976e+03,5.310233477124836309e-03
1.558018018018017983e+03,5.349958155868984530e-03
1.558118118118118218e+03,5.390286824517984479e-03
1.558218218218218226e+03,5.431230867850305941e-03
1.558318318318318234e+03,5.472801947290001877e-03
1.558418418418418469e+03,5.515012008921591456e-03
1.558518518518518476e+03,5.557873291777239155e-03
1.558618618618618711e+03,5.601398336407346044e-03
1.558718718718718719e+03,5.645599993745998961e-03
1.558818818818818727e+03,5.690491434281490755e-03
1.558918918918918962e+03,5.736086157545612456e-03
1.559019019019018970e+03,5.782398001932347736e-03
1.559119119119119205e+03,5.829441154862193691e-03
1.559219219219219212e+03,5.877230163302346252e-03
1.559319319319319220e+03,5.925779944660167740e-03
1.559419419419419455e+03,5.975105798062982539e-03
1.559519519519519463e+03,6.025223416041045055e-03
1.559619619619619698e+03,6.076148896629489371e-03
1.559719719719719706e+03,6.127898755907375435e-03
1.559819819819819713e+03,6.180489940991501681e-03
1.559919919919919948e+03,6.233939843502436275e-03
1.560020020020019956e+03,6.288266313525278477e-03
1.560120120120120191e+03,6.343487674083703870e-03
1.560220220220220199e+03,6.399622736149371272e-03
1.560320320320320207e+03,6.456690814211131849e-03
1.560420420420420442e+03,6.514711742424259509e-03
1.560520520520520449e+03,6.573705891368451272e-03
1.560620620620620684e+03,6.633694185438717209e-03
1.560720720720720692e+03,6.694698120896307517e-03
1.560820820820820927e+03,6.756739784610801131e-03
1.560920920920920935e+03,6.819841873519273505e-03
1.561021021021020942e+03,6.884027714839622419e-03
1.561121121121121178e+03,6.949321287065975648e-03
1.561221221221221185e+03,7.015747241785298509e-03
1.561321321321321420e+03,7.083330926350095251e-03
1.561421421421421428e+03,7.152098407444069765e-03
1.561521521521521436e+03,7.222076495585354888e-03
1.561621621621621671e+03,7.293292770605315500e-03
1.561721721721721678e+03,7.365775608150867959e-03
1.561821821821821914e+03,7.439554207256495084e-03
1.561921921921921921e+03,7.514658619033542757e-03
1.562022022022021929e+03,7.591119776532749032e-03
1.562122122122122164e+03,7.668969525830307554e-03
1.562222222222222172e+03,7.748240658398274257e-03
